Datetime,Close,High,Low,Open,Volume
2025-06-16 04:23:00+00:00,57000,57050,57000,57000,15095
2025-06-16 04:24:00+00:00,57000,57050,57000,57000,13276
2025-06-16 04:25:00+00:00,57050,57050,57000,57050,14358
2025-06-16 04:26:00+00:00,57050,57050,57000,57050,12767
2025-06-16 04:27:00+00:00,57000,57100,57000,57050,19778
2025-06-16 04:28:00+00:00,57050,57100,57000,57000,16433
2025-06-16 04:29:00+00:00,57050,57050,57000,57000,18305
2025-06-16 04:30:00+00:00,57050,57050,57000,57000,19036
2025-06-16 04:31:00+00:00,57050,57050,57000,57000,25337
2025-06-16 04:32:00+00:00,57050,57050,57000,57000,15136
2025-06-16 04:33:00+00:00,57000,57050,57000,57000,16505
2025-06-16 04:34:00+00:00,57050,57050,57000,57000,33517
2025-06-16 04:35:00+00:00,57000,57050,57000,57050,26710
2025-06-16 04:36:00+00:00,57050,57050,57000,57000,22984
2025-06-16 04:37:00+00:00,57050,57050,57000,57000,89838
2025-06-16 04:38:00+00:00,57050,57050,57000,57000,145646
2025-06-16 04:39:00+00:00,57000,57050,57000,57000,54799
2025-06-16 04:40:00+00:00,57050,57100,57000,57000,37896
2025-06-16 04:41:00+00:00,57050,57050,57000,57050,15549
2025-06-16 04:42:00+00:00,57050,57050,57000,57050,17758
2025-06-16 04:43:00+00:00,57000,57050,57000,57000,17704
2025-06-16 04:44:00+00:00,57050,57050,57000,57000,15116
2025-06-16 04:45:00+00:00,57100,57100,57000,57000,22772
2025-06-16 04:46:00+00:00,57100,57100,57000,57000,27922
2025-06-16 04:47:00+00:00,57100,57100,57000,57000,20910
2025-06-16 04:48:00+00:00,57050,57100,57050,57050,15464
2025-06-16 04:49:00+00:00,57000,57100,57000,57050,37423
2025-06-16 04:50:00+00:00,57100,57100,57000,57000,16115
2025-06-16 04:51:00+00:00,57100,57100,57000,57100,24017
2025-06-16 04:52:00+00:00,57000,57100,57000,57000,24023
2025-06-16 04:53:00+00:00,57100,57100,57000,57000,14964
2025-06-16 04:54:00+00:00,57050,57100,57000,57050,22876
2025-06-16 04:55:00+00:00,57050,57100,57000,57000,33151
2025-06-16 04:56:00+00:00,57100,57100,57050,57050,39002
2025-06-16 04:57:00+00:00,57100,57100,57050,57050,19426
2025-06-16 04:58:00+00:00,57100,57100,57050,57050,511298
